MedalistID,Edition,Athlete,NOC,Gender,Event,Medal,Season,MedalValue,SportID,DisciplineID,
1,1899,"HALMAY, Zoltan",HUN,Men,1500m freestyle,Bronze,Summer,3,1,56,
2,1899,"JARVIS, John Arthur",GBR,Men,1500m freestyle,Gold,Summer,1,1,56,
3,1899,"WAHLE, Otto",AUT,Men,1500m freestyle,Silver,Summer,2,1,56,
4,1899,"DROST, Johannes",NED,Men,200m backstroke,Bronze,Summer,3,1,56,
5,1899,"HOPPENBERG, Ernst",GER,Men,200m backstroke,Gold,Summer,1,1,56,
6,1899,"RUBERL, Karl",AUT,Men,200m backstroke,Silver,Summer,2,1,56,
7,1899,"HALMAY, Zoltan",HUN,Men,200m freestyle,Silver,Summer,2,1,56,
8,1899,"RUBERL, Karl",AUT,Men,200m freestyle,Bronze,Summer,3,1,56,
9,1899,"LANE, Frederick C.V.",AUS,Men,200m freestyle,Gold,Summer,1,1,56,
10,1899,"KEMP, Peter",GBR,Men,200m obstacle event,Bronze,Summer,3,1,56,
11,1899,"WAHLE, Otto",AUT,Men,200m obstacle event,Silver,Summer,2,1,56,
12,1899,"LANE, Frederick C.V.",AUS,Men,200m obstacle event,Gold,Summer,1,1,56,
13,1899,"FREY, Julius",GER,Men,200m team swimming,Gold,Summer,1,1,56,
14,1899,"HAINLE, Max",GER,Men,200m team swimming,Gold,Summer,1,1,56,
15,1899,"HOPPENBERG, Ernst",GER,Men,200m team swimming,Gold,Summer,1,1,56,
16,1899,"SCHÃ–NE, Max",GER,Men,200m team swimming,Gold,Summer,1,1,56,
17,1899,"VON PETERSDORFF, Herbert",GER,Men,200m team swimming,Gold,Summer,1,1,56,
18,1899,BERTRAND,FRA,Men,200m team swimming,Silver,Summer,2,1,56,
19,1899,CADET,FRA,Men,200m team swimming,Silver,Summer,2,1,56,
20,1899,"HOCHEPIED, Maurice",FRA,Men,200m team swimming,Silver,Summer,2,1,56,
21,1899,"HOCHEPIED, Victor",FRA,Men,200m team swimming,Silver,Summer,2,1,56,
22,1899,VERBECKE,FRA,Men,200m team swimming,Silver,Summer,2,1,56,
23,1899,HOUBEN,FRA,Men,200m team swimming,Bronze,Summer,3,1,56,
24,1899,"LEUILLIEUX, Jean",FRA,Men,200m team swimming,Bronze,Summer,3,1,56,
25,1899,"MARTIN, Louis",FRA,Men,200m team swimming,Bronze,Summer,3,1,56,
26,1899,"MERCHEZ, DÃ©sirÃ©",FRA,Men,200m team swimming,Bronze,Summer,3,1,56,
27,1899,TARTARA,FRA,Men,200m team swimming,Bronze,Summer,3,1,56,
28,1899,"HALMAY, Zoltan",HUN,Men,4000m freestyle,Silver,Summer,2,1,56,
29,1899,"JARVIS, John Arthur",GBR,Men,4000m freestyle,Gold,Summer,1,1,56,
30,1899,"MARTIN, Louis",FRA,Men,4000m freestyle,Bronze,Summer,3,1,56,
31,1899,"DE VENDEVILLE, Charles",FRA,Men,underwater swimming,Gold,Summer,1,1,56,
32,1899,"SIX, AndrÃ©",FRA,Men,underwater swimming,Silver,Summer,2,1,56,
33,1899,"LYKKEBERG, Peder",DEN,Men,underwater swimming,Bronze,Summer,3,1,56,
34,1899,"COE, Thomas",GBR,Men,water polo,Gold,Summer,1,1,67,
35,1899,"DERBYSHIRE, John Henry",GBR,Men,water polo,Gold,Summer,1,1,67,
36,1899,"KEMP, Peter",GBR,Men,water polo,Gold,Summer,1,1,67,
37,1899,"LISTER, William",GBR,Men,water polo,Gold,Summer,1,1,67,
38,1899,"ROBERTSON, Arthur",GBR,Men,water polo,Gold,Summer,1,1,67,
39,1899,"ROBINSON, Eric",GBR,Men,water polo,Gold,Summer,1,1,67,
40,1899,"WILKINSON, George",GBR,Men,water polo,Gold,Summer,1,1,67,
41,1899,"BURGESS, Thomas",FRA,Men,water polo,Bronze,Summer,3,1,67,
42,1899,COULON,FRA,Men,water polo,Bronze,Summer,3,1,67,
43,1899,"DECUYPER, Alphonse",FRA,Men,water polo,Bronze,Summer,3,1,67,
44,1899,DEVENOT,FRA,Men,water polo,Bronze,Summer,3,1,67,
45,1899,FARDELLE,FRA,Men,water polo,Bronze,Summer,3,1,67,
46,1899,FAVIER,FRA,Men,water polo,Bronze,Summer,3,1,67,
47,1899,"LAUFRAY, Louis",FRA,Men,water polo,Bronze,Summer,3,1,67,
48,1899,LERICHE,FRA,Men,water polo,Bronze,Summer,3,1,67,
49,1899,"MARTIN, Louis",FRA,Men,water polo,Bronze,Summer,3,1,67,
50,1899,"MERCHEZ, DÃ©sirÃ©",FRA,Men,water polo,Bronze,Summer,3,1,67,
51,1899,"PESLIER, Henri",FRA,Men,water polo,Bronze,Summer,3,1,67,
52,1899,PESLOY,FRA,Men,water polo,Bronze,Summer,3,1,67,
53,1899,"TREFFEL, Charles",FRA,Men,water polo,Bronze,Summer,3,1,67,
54,1899,"VASSEUR, Paul",FRA,Men,water polo,Bronze,Summer,3,1,67,
55,1899,"COHEN, Henri",BEL,Men,water polo,Silver,Summer,2,1,67,
56,1899,"DE BACKER, Jean",BEL,Men,water polo,Silver,Summer,2,1,67,
57,1899,"DE BEHR, Victor",BEL,Men,water polo,Silver,Summer,2,1,67,
58,1899,"FEYAERTS, Fernand",BEL,Men,water polo,Silver,Summer,2,1,67,
59,1899,"GREGOIRE, Oscar",BEL,Men,water polo,Silver,Summer,2,1,67,
60,1899,"MICHANT, Albert",BEL,Men,water polo,Silver,Summer,2,1,67,
61,1899,"SONNEMANS, Victor",BEL,Men,water polo,Silver,Summer,2,1,67,
62,1899,"MOUGIN, EugÃ¨ne",FRA,Men,"au chapelet, 50m",Gold,Summer,1,2,2,
63,1899,"HEROUIN, Henri",FRA,Men,"au cordon dore, 50m",Gold,Summer,1,2,2,
64,1899,"GRUMIAUX, Emile",FRA,Men,sur la perche Ã  la pyramide,Gold,Summer,1,2,2,
65,1899,"THIBAUD, Victor",FRA,Men,"au chapelet, 33m",Silver,Summer,2,2,2,
66,1899,"HELLE, Henri",FRA,Men,"au chapelet, 50m",Silver,Summer,2,2,2,
67,1899,"THIBAUD, Victor",FRA,Men,"au cordon dore, 33m",Silver,Summer,2,2,2,
68,1899,"SERRURIER, Auguste",FRA,Men,sur la perche Ã  la herse,Silver,Summer,2,2,2,
69,1899,"SERRURIER, Auguste",FRA,Men,sur la perche Ã  la pyramide,Silver,Summer,2,2,2,
70,1899,"PETIT, Charles FrÃ©dÃ©ric",FRA,Men,"au chapelet, 33m",Bronze,Summer,3,2,2,
71,1899,"MERCIER, Emile",FRA,Men,"au chapelet, 50m",Bronze,Summer,3,2,2,
72,1899,"PETIT, Charles FrÃ©dÃ©ric",FRA,Men,"au cordon dore, 33m",Bronze,Summer,3,2,2,
73,1899,"FISSEUX, Emile",FRA,Men,"au cordon dore, 50m",Bronze,Summer,3,2,2,
74,1899,"VAN INNIS, Hubert",BEL,Men,"au chapelet, 33m",Gold,Summer,1,2,2,
75,1899,"VAN INNIS, Hubert",BEL,Men,"au cordon dore, 33m",Gold,Summer,1,2,2,
76,1899,"FOULON, Emmanuel",BEL,Men,sur la perche Ã  la herse,Gold,Summer,1,2,2,
77,1899,"VAN INNIS, Hubert",BEL,Men,"au cordon dore, 50m",Silver,Summer,2,2,2,
78,1899,"DRUART, Jr.",BEL,Men,sur la perche Ã  la herse,Silver,Summer,2,2,2,
79,1899,"GLINEUX, Louis",BEL,Men,sur la perche Ã  la pyramide,Bronze,Summer,3,2,2,
80,1899,"BENNETT, Charles",ZZX,Men,5000m team,Gold,Summer,1,3,4,
81,1899,"RIMMER, John",ZZX,Men,5000m team,Gold,Summer,1,3,4,
82,1899,"ROBINSON, Sidney",ZZX,Men,5000m team,Gold,Summer,1,3,4,
83,1899,"ROWLEY, Stanley",ZZX,Men,5000m team,Gold,Summer,1,3,4,
84,1899,"TYSOE, Alfred",ZZX,Men,5000m team,Gold,Summer,1,3,4,
85,1899,"JARVIS, Francis",USA,Men,100m,Gold,Summer,1,3,4,
86,1899,"KRAENZLEIN, Alvin",USA,Men,110m hurdles,Gold,Summer,1,3,4,
87,1899,"TEWKSBURY, Walter B. John",USA,Men,200m,Gold,Summer,1,3,4,
88,1899,"KRAENZLEIN, Alvin",USA,Men,200m hurdles,Gold,Summer,1,3,4,
89,1899,"LONG, Maxwell W.Maxey",USA,Men,400m,Gold,Summer,1,3,4,
90,1899,"TEWKSBURY, Walter B. John",USA,Men,400m hurdles,Gold,Summer,1,3,4,
91,1899,"KRAENZLEIN, Alvin",USA,Men,60m,Gold,Summer,1,3,4,
92,1899,"FLANAGAN, John Jesus",USA,Men,hammer throw,Gold,Summer,1,3,4,
93,1899,"BAXTER, Irving",USA,Men,high jump,Gold,Summer,1,3,4,
94,1899,"EWRY, Ray",USA,Men,"high jump, standing",Gold,Summer,1,3,4,
95,1899,"KRAENZLEIN, Alvin",USA,Men,long jump,Gold,Summer,1,3,4,
96,1899,"EWRY, Ray",USA,Men,"long jump, standing",Gold,Summer,1,3,4,
97,1899,"BAXTER, Irving",USA,Men,pole vault,Gold,Summer,1,3,4,
98,1899,"SHELDON, Richard",USA,Men,shot put,Gold,Summer,1,3,4,
99,1899,"PRINSTEIN, Meyer",USA,Men,triple jump,Gold,Summer,1,3,4,
100,1899,"EWRY, Ray",USA,Men,"triple jump, standing",Gold,Summer,1,3,4,
101,1899,"TEWKSBURY, Walter B. John",USA,Men,100m,Silver,Summer,2,3,4,
102,1899,"MCLEAN, John",USA,Men,110m hurdles,Silver,Summer,2,3,4,
103,1899,"HOLLAND, William",USA,Men,400m,Silver,Summer,2,3,4,
104,1899,"TEWKSBURY, Walter B. John",USA,Men,60m,Silver,Summer,2,3,4,
105,1899,"CREGAN, John",USA,Men,800m,Silver,Summer,2,3,4,
106,1899,"HARE, Thomas Truxton",USA,Men,hammer throw,Silver,Summer,2,3,4,
107,1899,"BAXTER, Irving",USA,Men,"high jump, standing",Silver,Summer,2,3,4,
108,1899,"PRINSTEIN, Meyer",USA,Men,long jump,Silver,Summer,2,3,4,
109,1899,"BAXTER, Irving",USA,Men,"long jump, standing",Silver,Summer,2,3,4,
110,1899,"COLKETT, Meredith Bright",USA,Men,pole vault,Silver,Summer,2,3,4,
111,1899,"MCCRACKEN, Josiah",USA,Men,shot put,Silver,Summer,2,3,4,
112,1899,"CONNOLLY, James",USA,Men,triple jump,Silver,Summer,2,3,4,
113,1899,"BAXTER, Irving",USA,Men,"triple jump, standing",Silver,Summer,2,3,4,
114,1899,"MOLONEY, Frederick",USA,Men,110m hurdles,Bronze,Summer,3,3,4,
115,1899,"BRAY, John",USA,Men,1500m,Bronze,Summer,3,3,4,
116,1899,"TEWKSBURY, Walter B. John",USA,Men,200m hurdles,Bronze,Summer,3,3,4,
117,1899,"HALL, David",USA,Men,800m,Bronze,Summer,3,3,4,
118,1899,"SHELDON, Richard",USA,Men,discus throw,Bronze,Summer,3,3,4,
119,1899,"MCCRACKEN, Josiah",USA,Men,hammer throw,Bronze,Summer,3,3,4,
120,1899,"SHELDON, Lewis Pendleton",USA,Men,"high jump, standing",Bronze,Summer,3,3,4,
121,1899,"GARRETT, Robert",USA,Men,shot put,Bronze,Summer,3,3,4,
122,1899,"SHELDON, Lewis Pendleton",USA,Men,triple jump,Bronze,Summer,3,3,4,
123,1899,"GARRETT, Robert",USA,Men,"triple jump, standing",Bronze,Summer,3,3,4,
124,1899,"FAST, Ernst",SWE,Men,marathon,Bronze,Summer,3,3,4,
125,1899,"ANDERSEN, Carl Albert",NOR,Men,pole vault,Bronze,Summer,3,3,4,
126,1899,"PRITCHARD, Norman",IND,Men,200m,Silver,Summer,2,3,4,
127,1899,"PRITCHARD, Norman",IND,Men,200m hurdles,Silver,Summer,2,3,4,
128,1899,"BAUER, Rudolf",HUN,Men,discus throw,Gold,Summer,1,3,4,
129,1899,"GÃ–NCZY, Lajos",HUN,Men,high jump,Bronze,Summer,3,3,4,
130,1899,"BENNETT, Charles",GBR,Men,1500m,Gold,Summer,1,3,4,
131,1899,"RIMMER, John",GBR,Men,4000m steeplechase,Gold,Summer,1,3,4,
132,1899,"TYSOE, Alfred",GBR,Men,800m,Gold,Summer,1,3,4,
133,1899,"ROBINSON, Sidney",GBR,Men,3000m steeplechase,Silver,Summer,2,3,4,
134,1899,"BENNETT, Charles",GBR,Men,4000m steeplechase,Silver,Summer,2,3,4,
135,1899,"LEAHY, Patrick Joseph",GBR,Men,high jump,Silver,Summer,2,3,4,
136,1899,"ROBINSON, Sidney",GBR,Men,4000m steeplechase,Bronze,Summer,3,3,4,
137,1899,"LEAHY, Patrick Joseph",GBR,Men,long jump,Bronze,Summer,3,3,4,
138,1899,"THEATO, Michel",FRA,Men,marathon,Gold,Summer,1,3,4,
139,1899,"DELOGE, Henri",FRA,Men,1500m,Silver,Summer,2,3,4,
140,1899,"TAUZIN, Henri",FRA,Men,400m hurdles,Silver,Summer,2,3,4,
141,1899,"CASTANET, AndrÃ©",FRA,Men,5000m team,Silver,Summer,2,3,4,
142,1899,"CHAMPOUDRY, Michel",FRA,Men,5000m team,Silver,Summer,2,3,4,
143,1899,"CHASTANIE, Jacques",FRA,Men,5000m team,Silver,Summer,2,3,4,
144,1899,"DELOGE, Henri",FRA,Men,5000m team,Silver,Summer,2,3,4,
145,1899,"RAGUENEAU, Gaston",FRA,Men,5000m team,Silver,Summer,2,3,4,
146,1899,"CHAMPION, Emile",FRA,Men,marathon,Silver,Summer,2,3,4,
147,1899,"CHASTANIE, Jacques",FRA,Men,3000m steeplechase,Bronze,Summer,3,3,4,
148,1899,"TORCHEBOEUF, Emile",FRA,Men,"long jump, standing",Bronze,Summer,3,3,4,
149,1899,"SCHULTZ, Ernst",DEN,Men,400m,Bronze,Summer,3,3,4,
150,1899,"ORTON, George",CAN,Men,3000m steeplechase,Gold,Summer,1,3,4,
151,1899,"ORTON, George",CAN,Men,400m hurdles,Bronze,Summer,3,3,4,
152,1899,"JANDA, Frantisek",BOH,Men,discus throw,Silver,Summer,2,3,4,
153,1899,"ROWLEY, Stanley",AUS,Men,100m,Bronze,Summer,3,3,4,
154,1899,"ROWLEY, Stanley",AUS,Men,200m,Bronze,Summer,3,3,4,
155,1899,"ROWLEY, Stanley",AUS,Men,60m,Bronze,Summer,3,3,4,
156,1899,"DURQUETTY, Maurice",FRA,Men,cesta punta,Silver,Summer,2,7,8,
157,1899,ETCHEGARAY,FRA,Men,cesta punta,Silver,Summer,2,7,8,
158,1899,"De AMEZOLA y ASPIZUA, JosÃ©",ESP,Men,cesta punta,Gold,Summer,1,7,8,
159,1899,"VILLOTA BAQUIOLA, Francisco",ESP,Men,cesta punta,Gold,Summer,1,7,8,
160,1899,"BEACHCROFT, Charles",GBR,Men,cricket,Gold,Summer,1,12,16,
161,1899,"BIRKETT, Arthur Ernest",GBR,Men,cricket,Gold,Summer,1,12,16,
162,1899,"BOWERMAN, Alfred James",GBR,Men,cricket,Gold,Summer,1,12,16,
163,1899,"BUCKLEY, George John",GBR,Men,cricket,Gold,Summer,1,12,16,
164,1899,"BURCHELL, Francis Romulus",GBR,Men,cricket,Gold,Summer,1,12,16,
165,1899,"CHRISTIAN, Frederick William",GBR,Men,cricket,Gold,Summer,1,12,16,
166,1899,"CORNER, Harry Richard",GBR,Men,cricket,Gold,Summer,1,12,16,
167,1899,"CUMING, Frederick Wlliam",GBR,Men,cricket,Gold,Summer,1,12,16,
168,1899,"DONNE, William Stephen",GBR,Men,cricket,Gold,Summer,1,12,16,
169,1899,"POWLESLAND, Alfred James",GBR,Men,cricket,Gold,Summer,1,12,16,
170,1899,"SYMES, John",GBR,Men,cricket,Gold,Summer,1,12,16,
171,1899,"TOLLER, Montagu Henry",GBR,Men,cricket,Gold,Summer,1,12,16,
172,1899,"ANDERSON, W.",FRA,Men,cricket,Silver,Summer,2,12,16,
173,1899,"ATTRILL, W.T.",FRA,Men,cricket,Silver,Summer,2,12,16,
174,1899,"BRAID, J.",FRA,Men,cricket,Silver,Summer,2,12,16,
175,1899,"BROWNING, W.",FRA,Men,cricket,Silver,Summer,2,12,16,
176,1899,"HORNE, R.",FRA,Men,cricket,Silver,Summer,2,12,16,
177,1899,"JORDAN, T.H.",FRA,Men,cricket,Silver,Summer,2,12,16,
178,1899,"MCEVOY, A.",FRA,Men,cricket,Silver,Summer,2,12,16,
179,1899,"ROBINSON, D.",FRA,Men,cricket,Silver,Summer,2,12,16,
180,1899,"ROQUES, F.",FRA,Men,cricket,Silver,Summer,2,12,16,
181,1899,"SCHNEIDAU, A.J.",FRA,Men,cricket,Silver,Summer,2,12,16,
182,1899,"TERRY, Henry John",FRA,Men,cricket,Silver,Summer,2,12,16,
183,1899,"TOMALIN, P.H.",FRA,Men,cricket,Silver,Summer,2,12,16,
184,1899,AUMOITTE,FRA,Men,double,Gold,Summer,1,13,17,
185,1899,JOHIN,FRA,Men,double,Gold,Summer,1,13,17,
186,1899,AUMOITTE,FRA,Men,individual 1 ball,Gold,Summer,1,13,17,
187,1899,WAYDELICH,FRA,Men,individual 2 balls,Gold,Summer,1,13,17,
188,1899,JOHIN,FRA,Men,individual 1 ball,Silver,Summer,2,13,17,
189,1899,VIGNEROT,FRA,Men,individual 2 balls,Silver,Summer,2,13,17,
190,1899,WAYDELICH,FRA,Men,individual 1 ball,Bronze,Summer,3,13,17,
191,1899,SAUTREAU,FRA,Men,individual 2 balls,Bronze,Summer,3,13,17,
192,1899,"BASTIEN, Louis",FRA,Men,25 kilometres,Gold,Summer,1,15,21,
193,1899,"DAUMAIN, .....",FRA,Men,25 kilometres,Bronze,Summer,3,15,21,
194,1899,"HILDEBRAND, Louis",FRA,Men,25 kilometres,Silver,Summer,2,15,21,
195,1899,"LAKE, John Henry",USA,Men,Sprint individual,Bronze,Summer,3,15,21,
196,1899,"SANZ, Fernand",FRA,Men,Sprint individual,Silver,Summer,2,15,21,
197,1899,"TAILLANDIER, Georges",FRA,Men,Sprint individual,Gold,Summer,1,15,21,
198,1899,DE BELLEGARDE,FRA,Men,long jump individual,Bronze,Summer,3,16,36,
199,1899,"GARDERES, Dominique Maximien",FRA,Men,high jump,Gold,Summer,1,16,36,
200,1899,"HAEGEMAN, AimÃ©",BEL,Men,individual,Gold,Summer,1,16,36,
201,1899,"TRISSINO, Gian Giorgio",ITA,Men,high jump,Gold,Summer,1,16,36,
202,1899,"TRISSINO, Gian Giorgio",ITA,Men,long jump individual,Silver,Summer,2,16,36,
203,1899,"VAN DE POELE, Georges",BEL,Men,high jump,Bronze,Summer,3,16,36,
204,1899,"VAN DE POELE, Georges",BEL,Men,individual,Silver,Summer,2,16,36,
205,1899,"VAN LANGHENDONCK, Constant",BEL,Men,long jump individual,Gold,Summer,1,16,36,
206,1899,"CONTE, Antonio",ITA,Men,"sabre, masters",Gold,Summer,1,17,25,
207,1899,"SANTELLI, Italo",ITA,Men,"sabre, masters",Silver,Summer,2,17,25,
208,1899,"AYAT, Albert",FRA,Men,"epee, amateurs and masters",Gold,Summer,1,17,25,
209,1899,"AYAT, Albert",FRA,Men,"epee, masters",Gold,Summer,1,17,25,
210,1899,"COSTE, Emile",FRA,Men,foil individual,Gold,Summer,1,17,25,
211,1899,"MERIGNAC, Lucien",FRA,Men,"foil, masters",Gold,Summer,1,17,25,
212,1899,"DE LA FALAISE, Georges",FRA,Men,sabre individual,Gold,Summer,1,17,25,
213,1899,"PERREE, Louis",FRA,Men,epee individual,Silver,Summer,2,17,25,
214,1899,"BOUGNOL, Emile",FRA,Men,"epee, masters",Silver,Summer,2,17,25,
